ne,1,combs,bucksnort mtn,536750,3694890,6193,bm,2,abdsp
ne,2,villager,rabbit peak,572720,3694410,5756,spot,2,abdsp
ne,3,collins,bucksnort mtn,545810,3694350,4559,bm,2,abdsp
ne,4,elder,collins valley,547670,3694040,3433,bm,3,abdsp
ne,5,palms,collins valley,548000,3693030,3121,bm,3,abdsp
ne,6,knob,bucksnort mtn,546000,3693020,3431,bm,2,abdsp
ne,7,mile high p5340,rabbit peak,575280,3693000,5340,inter,2,abdsp
ne,8,rosa,fonts point,577440,3691500,5020,bm,2,abdsp
ne,9,square top p4649 1,hot springs mtn,545260,3691200,4649,spot,5,abdsp
ne,10,coyote,clark lake,562530,3689360,3192,bm,1,abdsp
ne,11,pyramid p3500,fonts point,578760,3688700,3500,inter,2,abdsp
ne,12,pike,borrego palm canyon,547100,3685980,5571,bm,2,abdsp
ne,13,palm mesa p4660,borrego palm canyon,550000,3685580,4660,spot,2,abdsp
ne,14,palm,fonts point,581430,3685570,2701,bm,2,abdsp
ne,15,cody,borrego palm canyon,546950,3684930,5587,bm,2,abdsp
ne,16,indianhead,borrego palm canyon,553110,3683670,3980,inter,3,abdsp
ne,17,san ysidro p5386,borrego palm canyon,550250,3681300,5386,bm,2,abdsp
ne,18,kay,borrego palm canyon,552180,3679990,3587,bm,1,abdsp
ne,19,ode,borrego palm canyon,554230,3679940,1510,bm,1,abdsp
ne,20,sirens p4401,borrego palm canyon,551420,3679820,4401,spot,2,abdsp
ne,21,san ysidro,borrego palm canyon,546800,3679350,6147,bm,2,clev nf
ne,22,thimble,tubb canyon,546880,3678600,5779,spot,3,abdsp
ne,23,webo,tubb canyon,550880,3678540,4173,bm,1,abdsp
ne,24,goat,tubb canyon,548840,3678430,4232,bm,1,abdsp
ne,25,ted,tubb canyon,552370,3678320,2369,bm,1,abdsp
ne,26,white,tubb canyon,547690,3677270,5326,bm,2,abdsp
ne,27,bonny,tubb canyon,547670,3675430,4574,bm,1,abdsp
ne,28,borrego west butte,borrego mtn,574260,3672580,1207,spot,2,abdsp
ne,29,pinyon ridge p4614,tubb canyon,550880,3670950,4614,spot,2,abdsp
ne,30,wilson,tubb canyon,552860,3670890,4586,bm,1,abdsp
ne,31,borrego east butte,borrego mtn,577640,3670220,1196,spot,2,abdsp
ne,32,grapevine,earthquake valley,549830,3664570,3955,bm,1,abdsp
ne,33,sentenac,earthquake valley,552030,3663080,3068,spot,2,abdsp
ne,34,sunset,whale peak,567500,3662680,3658,bm,2,abdsp
ne,35,north pinyon p3660,earthquake valley,555050,3661660,3660,inter,2,abdsp
ne,36,vallecito p3583,harper canyon,573860,3658430,3583,spot,2,blm
ne,37,pinyon p4492,whale peak,561600,3657540,4492,spot,2,abdsp
ne,38,granite,earthquake valley,548660,3656880,5633,bm,2,abdsp
ne,39,whale,whale peak,563940,3654560,5350,bm,2,abdsp
nw,40,agua tibia,vail lake,501760,3696530,4781,vabm,2,clev nf
nw,41,eagle crag,vail lake,504140,3694040,5077,spot,2,clev nf
nw,42,palomar,palomar obs,515300,3691400,6142,bm,1,clev nf
nw,43,boucher hill,palomar mtn,507580,3688210,5448,spot,1,clev nf
nw,44,black 1,mesa grande,517980,3668840,4045,bm,1,clev nf
nw,45,israel,rancho santa fe,486750,3659450,1346,spot,1,blm
nw,46,bernardo,escondido,491880,3658150,1150,spot,1,blm
nw,47,gower,ramona,522130,3653250,3110,inter,1,clev nf
nw,48,woodson,san pasqual,502820,3652060,2901,bm,1,sd city
se,49,split mtwest p1690,harper canyon,581500,3653560,1690,spot,2,abdsp
