us2752028,jun 28 1952,jun 26 1956,rca corp,orienting device
us2958439,apr 29 1959,nov 1 1960,donald e yochem,container closure
us3814582,mar 2 1972,jun 4 1974,beckman instruments inc,automated chemical analyser system
us3915651,sep 22 1972,oct 28 1975,us government,direct digital control pipette
us3917455,may 10 1974,nov 4 1975,mta koezponti fiz kutato intez,None
us3951608,jan 22 1975,apr 20 1976,ernest trod,mixing cuvette timing turntable providing reaction mixtures
us4000974,mar 31 1976,jan 4 1977,beckman instruments inc,sample residue cleaning system biological analyzers
us4038555,aug 28 1974,jul 26 1977,gilford instrument laboratories inc,photometric measuring system
us4070156,sep 21 1976,jan 24 1978,hycel inc,reagent dispensing system automatic chemical analyzer
us4082121,aug 25 1976,apr 4 1978,oxford laboratories inc,liquid dispenser means automatically purging air therefrom during liquid loading
us4111754,nov 29 1976,sep 5 1978,hydow park,immunological testing devices methods
us4113436,feb 10 1975,sep 12 1978,mettler instrumente ag,automatic analysis apparatus
us4130796,dec 7 1977,dec 19 1978,westinghouse electric corp,calibrating measuring circuit capacitive probe type instrument
us4141687,mar 10 1977,feb 27 1979,technicon instruments corporation,automatic apparatus method assay fluid samples
us4148607,feb 17 1976,apr 10 1979,hoffmann la roche inc,apparatus analysis agglutination reaction
us4169543,oct 20 1977,oct 2 1979,keystone international inc,amplitude responsive detector
us4205763,dec 26 1978,jun 3 1980,marlboro marketing inc,container dispensing device
us4234538,oct 28 1977,nov 18 1980,coulter electronics inc,apparatus monitoring chemical reactions employing moving photometer means
us4234539,aug 23 1979,nov 18 1980,coulter electronics inc,apparatus monitoring chemical reactions employing moving photometer means
us4234540,aug 24 1979,nov 18 1980,coulter electronics inc,apparatus monitoring chemical reactions employing moving photometer means
us4256725,feb 21 1978,mar 17 1981,becton dickinson company,preparation solid substrate containing receptor labeled form ligand assays
us4268477,jun 14 1979,may 19 1981,bna augustin gmbh co kg,apparatus distribution liquid test samples through various test stations
us4276051,jan 28 1980,jun 30 1981,coulter electronics inc,colorimetric analysis sampling
us4276260,jan 28 1980,jun 30 1981,coulter electronics inc,fluid transfer mechanism
us4278437,apr 9 1979,jul 14 1981,jan haggar,fluid specimen holder biological fluid testing
us4298571,jun 16 1980,nov 3 1981,eastman kodak company,controlling evaporation
us4302421,feb 22 1980,nov 24 1981,pye electronic products limited,method apparatus flushing delivery tube automatic liquid sample supply apparatus
us4311394,apr 9 1980,jan 19 1982,olympus optical company limited,automatic analytical apparatus
us4311959,jun 14 1979,jan 19 1982,eberhard riessland,capacitive measuring sensor
us4313735,aug 22 1980,feb 2 1982,hitachi ltd,automatic chemical analyzing method apparatus
